word,ease_score
ЗАМЕСТИТЕЛЬ,4.2600
МАЛЕНЬКИЙ,4.2500
ПРОСТОЙ,4.2500
ОТКРЫТЬ,4.2500
ДЯДЯ,4.2500
ОБЪЯСНИТЬ,4.2500
ТОЧКА,4.2500
ОТДАТЬ,4.2500
ЗЛО,4.2500
БАЗА,4.2500
ОБЪЕКТ,4.2500
ДЕД,4.2500
БОРОТЬСЯ,4.2500
СРОЧНО,4.2500
АКТ,4.2500
МОЛОДЕЦ,4.2400
ОФИС,4.2400
ВЫСОКИЙ,4.2400
СИЛЬНЫЙ,4.2400
ИНОЙ,4.2400
ВЫБРАТЬ,4.2400
ПОСТЕПЕННО,4.2400
МОРСКОЙ,4.2400
ПОТОК,4.2400
МАЙОР,4.2400
КРИЗИС,4.2400
НЕФТЬ,4.2400
ПАМЯТНИК,4.2400
ГРУДЬ,4.2300
ПРИЙТИ,4.2300
ДЕРЖАТЬ,4.2300
РОДНОЙ,4.2300
ОТРЯД,4.2300
ПРОДАТЬ,4.2300
ДЕТСКИЙ,4.2300
ФРОНТ,4.2300
СЛЕГКА,4.2300
УЧИТЕЛЬ,4.2300
ШОССЕ,4.2300
УКРАИНСКИЙ,4.2300
ТАКСИ,4.2300
МАЙ,4.2300
ЕДА,4.2300
ЗОНА,4.2300
ГОРЕ,4.2300
УВЫ,4.2300
НЕПЛОХО,4.2200
ДВОР,4.2200
РОССИЯ,4.2200
УРОК,4.2200
ВПЛОТЬ,4.2200
ТЕМПЕРАТУРА,4.2100
ОТКРЫТИЕ,4.2100
ПРИНЦ,4.2100
СОХРАНИТЬ,4.2100
СЕКРЕТ,4.2100
УЛИЦА,4.2100
ДЕРЕВО,4.2100
НАДЕЖДА,4.2100
СОБРАТЬ,4.2100
ВНЕЗАПНО,4.2100
НАПРОТИВ,4.2100
СРЕДНИЙ,4.2100
МАССА,4.2100
СВЯТОЙ,4.2100
ОТКАЗ,4.2100
АЭРОПОРТ,4.2100
ВЫЗОВ,4.2000
УВЕЛИЧИТЬ,4.2000
СОБАКА,4.2000
УГОЛ,4.2000
СЛЕД,4.2000
СКВОЗЬ,4.2000
ПОИСК,4.2000
СВОБОДА,4.2000
ПОПЫТКА,4.2000
ПОДХОД,4.2000
ВОВРЕМЯ,4.2000
СЕЙ,4.2000
КОТ,4.2000
ПРИЗНАТЬ,4.2000
ХАН,4.2000
ХОЗЯИН,4.1900
ТЕХНИКА,4.1900
СИГНАЛ,4.1900
ВОЙТИ,4.1900
АВТОБУС,4.1900
ВСЯКИЙ,4.1900
ОФИЦЕР,4.1900
ЗАЩИТА,4.1900
ТЕПЛО,4.1900
ОРГАН,4.1900
УЧИТЬСЯ,4.1900
НАВЕРНО,4.1900
БАБУШКА,4.1900
ЗАРАНЕЕ,4.1900
ПИВО,4.1900
ВХОД,4.1900
МАТЕРИАЛ,4.1900
НАПИСАТЬ,4.1900
ЛИСТ,4.1900
ПРОВОДИТЬ,4.1900
ХУДОЖНИК,4.1900
БУКВАЛЬНО,4.1900
СБОР,4.1900
ВЫИГРАТЬ,4.1900
МЕНЯТЬ,4.1800
ПОДРУГА,4.1800
СВЕРХУ,4.1800
СУДИТЬ,4.1800
БОЕВОЙ,4.1800
ОШИБКА,4.1800
БИЛЕТ,4.1800
ВРАГ,4.1800
ЛИТЕРАТУРА,4.1800
ПОЛОВИНА,4.1800
ПАРИЖ,4.1800
КУЛЬТУРА,4.1800
СООТВЕТСТВЕННО,4.1800
ОТЕЛЬ,4.1800
ПРАКТИКА,4.1800
МАРТ,4.1700
ОТЛИЧНЫЙ,4.1700
РУБЛЬ,4.1700
ПЛОХОЙ,4.1700
СТОРОНА,4.1700
ПОДНЯТЬ,4.1700
ПИСАТЕЛЬ,4.1700
НЕОЖИДАННО,4.1700
МИГ,4.1700
ЕВРОПА,4.1700
МЕЧ,4.1700
НАРОДНЫЙ,4.1700
ОЧЕРЕДНОЙ,4.1700
СЛЕВА,4.1700
ПЕРЕХОД,4.1700
НЕМАЛО,4.1700
РИС,4.1700
УРА,4.1700
МЕДАЛЬ,4.1700
НИГДЕ,4.1700
ШТАТ,4.1700
ДЛИНА,4.1600
РИСК,4.1600
ЛЕЙТЕНАНТ,4.1600
ПЕТЬ,4.1600
АВТОМОБИЛЬ,4.1600
СТРОИТЬ,4.1600
НАВЕРНЯКА,4.1600
НЕМЕДЛЕННО,4.1600
СОЛЬ,4.1600
БИТВА,4.1600
ПОДУМАТЬ,4.1600
ОГРОМНЫЙ,4.1600
ВОДИТЕЛЬ,4.1600
ШУМ,4.1600
ДОБИТЬСЯ,4.1600
АГЕНТ,4.1500
ОТКРЫТО,4.1500
КРЕДИТ,4.1500
РАССКАЗ,4.1500
МОСКОВСКИЙ,4.1500
БОЛЕЗНЬ,4.1500
АНГЛИЙСКИЙ,4.1500
КОЛЬЦО,4.1500
ЛОЖЬ,4.1500
МЕДЛЕННО,4.1500
ОТВЕЧАТЬ,4.1500
КОМАНДИР,4.1500
ПОЛКОВНИК,4.1500
ПОСТРОИТЬ,4.1500
ПОЛК,4.1500
ПЕРЕДАТЬ,4.1500
УЖАС,4.1500
ДАР,4.1500
ЛИЧНЫЙ,4.1400
КАБИНЕТ,4.1400
ВАЖНЫЙ,4.1400
НОСИТЬ,4.1400
ВЫСОКО,4.1400
БЮДЖЕТ,4.1400
ДИСК,4.1400
ПОЛУЧАТЬ,4.1400
РЕДАКТОР,4.1400
МАК,4.1400
МЕЖДУНАРОДНЫЙ,4.1400
ПРОВЕРИТЬ,4.1400
МАСЛО,4.1400
ЧЕЙ,4.1400
НОЖ,4.1400
ГЛУБОКО,4.1300
ПОНЕДЕЛЬНИК,4.1300
ПЯТЫЙ,4.1300
ПАКЕТ,4.1300
МЕЧТА,4.1300
СТАРИК,4.1300
БЕРЕГ,4.1300
ДОКАЗАТЬ,4.1300
